1,1117744,vyshak,100,100,100,100,100,100,100
2,1117745,v,100,90,99,95,97,100,100
3,1117746,vy,100,90,99,95,97,100,100
4,1117747,vys,100,30,99,45,97,100,100
5,1117748,vysh,100,90,49,95,97,100,100
6,1117749,vysh,100,90,99,55,97,100,100
7,1117750,vysha,100,90,99,95,97,100,100
8,1117751,appu,100,90,99,55,97,100,100
9,1117752,a,100,90,99,95,97,100,100
10,1117753,b,20,90,99,95,37,100,100
11,1117754,n,100,90,99,95,97,100,100
12,1117755,c,10,20,29,35,27,20,0
13,1117756,d,0,0,9,5,7,10,100
14,1117757,f,10,20,39,5,7,0,10
15,1117758,h,1,9,9,9,9,4,10

